<Group>
Derived (MultiDye)
6
49		49		49		48		98		98	
Derived (1)	TyBQAAArwAuCFX5hMkehiRpSr6g8=	Derived (2)	TyhQAAArwAuCFX5hMkehiRpSr6g8=	Derived (3)	TzBQAAArwAuCFX5hMkehiRpSr6g8=	Derived (4)	TzhQAAArwAuCFX5hMkehiRpSr6g8=	Derived (1)(2)	T0BQAAArwAuCFX5hMkehiRpSr6g8=	Derived (2)(2)	T0hQAAArwAuCFX5hMkehiRpSr6g8=
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
5.13292646	0.431259632	12.0133343	0.430515736	18.916563	0.4324717	25.8040047	0.437333584	5.14617729	0.425840974	12.0315666	0.4267637
34.29395	0.4381082	41.12219	0.432042718	48.065918	0.42993632	54.9708252	0.4363844	19.7069931	0.426945776	26.56582	0.427422076
63.43972	0.441168	70.344696	0.431946	77.2423859	0.4330129	84.13763	0.435896575	34.1332321	0.42842114	40.97925	0.426734775
92.64102	0.433185041	99.578064	0.432465166	106.44928	0.430959344	113.398827	0.4332608	48.543972	0.427862883	55.43505	0.429267168
121.974945	0.444529027	128.857529	0.434531629	135.697678	0.433101267	142.538773	0.4316437	63.0557976	0.427608967	69.96419	0.428941667
151.082428	0.4337645	157.967224	0.432665884	164.853241	0.432117522	171.69339	0.4281751	77.44065	0.429868668	84.33895	0.428665161
209.1379	0.449639	186.828735	0.4569061	193.738647	0.455663174	200.632217	0.446170717	91.99412	0.427451819	98.90877	0.4307624
238.343384	0.472459942	216.029617	0.45576632	222.977051	0.458337218	229.818954	0.444503039	106.411865	0.4293298	113.26815	0.427531332
267.5374	0.4618805	245.236115	0.4580061	252.065475	0.458523363	259.0054	0.44104445	120.883949	0.4266646	127.739594	0.43071872
296.773376	0.468035847	274.4774	0.454860181	281.4198	0.459468067	288.309784	0.4439864	135.215042	0.429386258	142.062485	0.4289359
325.921173	0.463203669	303.662567	0.454816043	310.526337	0.458265632	317.421021	0.444838822	149.510513	0.4287346	156.453537	0.4290774
355.2415	0.462653756	332.821472	0.4526338	339.720825	0.457237631	346.6563	0.447210819	164.113251	0.42925337	170.956772	0.4307215
384.481	0.473068535	362.194641	0.4537489	369.101349	0.478684127	375.9369	0.4656494	178.523926	0.428379536	184.539368	0.4636295
413.7343	0.486665964	391.424377	0.476421	398.3661	0.478492528	405.258148	0.476930648	192.016144	0.426041275	198.9645	0.467584819
442.9188	0.485917956	420.593231	0.474183261	427.489624	0.4773019	434.442719	0.4637914	206.587067	0.428082228	213.517212	0.468929827
472.0224	0.485832125	449.8176	0.473587722	456.656525	0.478910148	463.500031	0.4623151	221.1233	0.426503569	228.034332	0.4691071
501.135529	0.4806412	478.907318	0.472980827	485.763916	0.47543633	492.608765	0.4673745	235.642685	0.4270366	242.553162	0.467907071
530.2229	0.477159381	507.9938	0.473099947	514.828552	0.4742033	521.773132	0.461667538	250.16507	0.4288137	257.0557	0.465866446
559.333557	0.4793969	537.0735	0.472702175	543.9756	0.477631927	550.856262	0.4716825	264.63974	0.427524656	271.545349	0.467358738
588.5662	0.482633084	566.230835	0.475750625	573.1712	0.479506016	580.0619	0.463469058	279.033264	0.425875217	285.95108	0.464019984
617.836243	0.4841185	595.4615	0.475025862	602.3554	0.4803533	609.2462	0.477867424	293.401184	0.4296735	300.338226	0.466117322
647.0088	0.4800847	624.744141	0.4717477	631.6552	0.480388045	638.5493	0.475376219	307.8544	0.4272687	314.806122	0.464836031
676.230042	0.4760689	653.874	0.471317649	660.7754	0.476203144	667.663452	0.4739869	322.424072	0.427546352	329.4349	0.463825762
705.52	0.479019	683.1756	0.474061728	690.074463	0.478061348	696.9802	0.465524763	337.0555	0.428160459	343.994537	0.4633236
734.647949	0.473847151	712.367554	0.47073096	719.272	0.476006716	726.1201	0.45963344	351.6601	0.428206831	358.562561	0.464904577
764.08	0.482292473	741.6878	0.479715943	748.62854	0.481791228	755.5201	0.484365225	366.132477	0.45188117	373.0452	0.485723048
793.2907	0.4834647	770.924866	0.47729668	777.8788	0.481993884	784.823364	0.467437744	380.514435	0.454789877	387.41095	0.48715362
822.398132	0.483569324	800.1944	0.4750257	807.032654	0.483520418	813.927368	0.47439152	394.957153	0.454196334	401.8529	0.4840049
851.46344	0.480149865	829.301636	0.477752775	836.142	0.481699675	842.993	0.480837077	409.310364	0.454179347	416.310272	0.483602554
880.657532	0.480301559	858.4233	0.476601839	865.3079	0.480240852	872.1399	0.478010237	423.7553	0.454941481	430.714539	0.484612375
908.8783	0.475354135	887.5633	0.476011574	894.4733	0.48087126	929.558838	0.46742487	438.3823	0.4544482	445.2312	0.4834277
938.0181	0.485194266	915.8239	0.481020927	922.7175	0.486099482	958.691833	0.4772691	452.859528	0.4536351	459.768	0.483843774
967.1511	0.489138246	944.900269	0.4777789	951.8029	0.485776871	987.9375	0.475824356	467.345337	0.452931434	474.2387	0.482324
996.444336	0.483098656	974.0587	0.479568541	981.040649	0.484660119	1017.07782	0.4760065	481.803467	0.453347355	488.6956	0.483721077
1025.6543	0.483192354	1003.35687	0.478545964	1010.21326	0.479940832	1046.581	0.4783148	496.2784	0.451827258	503.164734	0.482559949
1055.10681	0.4822451	1032.58936	0.477356434	1039.62561	0.4794927	1075.8396	0.4803475	510.776245	0.4528503	517.6562	0.483422667
1084.25781	0.476238638	1062.00427	0.477796972	1068.9502	0.479759783	1104.87073	0.4598479	525.216431	0.4537537	532.0975	0.480815023
1113.401	0.480867475	1091.09277	0.477310568	1097.98328	0.4808939	1134.05884	0.475712985	539.615	0.453303874	546.5659	0.484869272
